ustime gx gy gz ax ay az
2315816687 46 -68 -49 -16458 -161 1165
2315823124 46 -72 -40 -16471 -165 1187
2315829558 51 -72 -47 -16513 -122 1220
2315835992 46 -76 -45 -16488 -182 1186
2315842427 44 -76 -41 -16486 -193 1205
2315848866 48 -77 -51 -16481 -161 1187
2315855271 47 -79 -52 -16478 -179 1184
2315861675 49 -80 -39 -16479 -158 1219
2315868103 46 -79 -48 -16504 -155 1175
2315874505 49 -68 -49 -16452 -152 1160
2315880937 46 -71 -43 -16512 -154 1166
2315887374 44 -77 -41 -16483 -162 1207
2315893809 52 -74 -39 -16452 -121 1214
2315900211 48 -74 -46 -16462 -187 1185
2315906638 46 -75 -42 -16454 -161 1160
2315913071 48 -72 -52 -16456 -168 1210
2315919506 49 -76 -43 -16434 -126 1216
2315925943 46 -74 -47 -16493 -144 1233
2315932375 44 -77 -50 -16475 -162 1181
2315938814 41 -75 -46 -16456 -145 1218
2315945261 47 -76 -48 -16557 -163 1216
2315951795 48 -81 -49 -16469 -158 1209
2315958235 45 -72 -44 -16473 -124 1175
2315964673 45 -80 -46 -16470 -149 1223
2315971112 48 -83 -48 -16501 -155 1177
2315977539 46 -80 -36 -16477 -102 1208
2315983984 43 -72 -40 -16481 -165 1200
2315990415 46 -80 -46 -16485 -158 1191
2315996851 48 -75 -48 -16481 -166 1173
2316003288 46 -77 -45 -16516 -149 1192
2316009690 53 -69 -45 -16463 -173 1207
2316016123 47 -75 -42 -16454 -163 1179
2316022552 46 -76 -38 -16467 -145 1132
2316028980 50 -81 -42 -16465 -156 1168
2316035387 48 -76 -42 -16455 -149 1231
2316041822 49 -70 -49 -16493 -152 1222
2316048248 47 -78 -46 -16441 -150 1169
2316054682 51 -72 -43 -16489 -144 1174
2316061111 45 -77 -43 -16469 -117 1202
2316067540 45 -73 -46 -16463 -162 1197
2316073975 46 -71 -45 -16422 -170 1150
2316080411 45 -75 -42 -16480 -151 1220
2316086846 51 -80 -47 -16491 -177 1225
2316093281 46 -70 -47 -16481 -164 1218
2316099715 49 -73 -43 -16454 -138 1188
2316106150 45 -73 -45 -16472 -182 1167
2316112586 46 -80 -47 -16474 -128 1209
2316119020 45 -72 -50 -16442 -128 1174
2316125426 48 -79 -48 -16472 -151 1238
2316131822 51 -82 -43 -16421 -167 1165
2316138247 46 -75 -39 -16494 -165 1166
2316144678 47 -81 -43 -16467 -151 1248
2316151115 50 -82 -43 -16484 -114 1192
2316157522 43 -72 -46 -16477 -160 1165
2316163961 47 -76 -46 -16451 -188 1162
2316170394 47 -85 -47 -16518 -155 1239
2316176846 49 -73 -52 -16479 -168 1153
2316183281 47 -68 -40 -16391 -178 1157
2316189713 44 -73 -45 -16516 -160 1222
2316196143 49 -71 -49 -16480 -161 1176
2316202576 45 -80 -47 -16481 -164 1199
2316209013 39 -75 -41 -16485 -159 1181
2316215443 49 -74 -40 -16531 -189 1194
2316221878 44 -73 -46 -16515 -153 1076
2316228321 45 -76 -51 -16493 -160 1152
2316234762 47 -74 -38 -16452 -105 1194
2316241194 45 -69 -46 -16524 -185 1236
2316247626 50 -77 -42 -16421 -168 1180
2316254032 48 -77 -46 -16440 -146 1234
2316260462 46 -78 -38 -16528 -194 1192
2316266900 48 -72 -42 -16475 -177 1211
2316273334 47 -77 -45 -16511 -155 1157
2316279768 51 -76 -38 -16510 -177 1210
2316286220 44 -84 -49 -16433 -99 1206
2316292745 48 -79 -50 -16423 -139 1210
2316299186 50 -71 -36 -16463 -163 1205
2316305620 49 -79 -42 -16498 -152 1200
2316312056 49 -78 -35 -16449 -124 1144
2316318500 49 -74 -39 -16499 -154 1231
2316324937 51 -73 -49 -16480 -190 1176
2316331371 51 -72 -52 -16465 -169 1172
2316337800 48 -75 -44 -16507 -110 1222
2316344230 45 -74 -41 -16477 -155 1187
2316350656 46 -82 -46 -16484 -169 1186
2316357089 47 -75 -43 -16504 -161 1152
2316363527 48 -71 -47 -16482 -138 1188
2316369982 52 -80 -47 -16487 -148 1209
2316376415 40 -74 -36 -16462 -144 1200
2316382851 44 -71 -48 -16471 -189 1148
2316389255 50 -79 -43 -16451 -155 1227
2316395703 47 -75 -42 -16433 -150 1159
2316402137 43 -75 -45 -16463 -144 1229
2316408574 44 -78 -45 -16482 -154 1192
2316415003 43 -72 -43 -16467 -186 1203
2316421437 46 -73 -43 -16477 -114 1174
2316427872 44 -79 -44 -16456 -130 1202
2316434306 49 -74 -43 -16466 -152 1206
2316440735 50 -63 -47 -16459 -125 1147
2316447165 44 -81 -44 -16489 -156 1190
2316453618 47 -74 -40 -16494 -136 1180
2316460056 46 -74 -41 -16477 -138 1248
2316466506 46 -76 -43 -16479 -165 1209
2316472945 47 -75 -48 -16507 -156 1154
2316479378 43 -76 -44 -16486 -142 1163
2316485812 47 -77 -45 -16503 -163 1185
2316492252 46 -78 -45 -16474 -139 1138
2316498685 46 -73 -51 -16495 -186 1142
2316505115 45 -72 -49 -16499 -145 1248
2316511546 44 -77 -54 -16469 -140 1191
2316517981 47 -77 -47 -16474 -150 1185
2316524419 44 -71 -46 -16472 -181 1213
2316530852 47 -74 -49 -16489 -153 1146
2316537284 45 -78 -42 -16493 -127 1198
2316543711 46 -77 -48 -16420 -155 1195
2316550137 50 -76 -52 -16460 -164 1218
2316556568 47 -74 -52 -16489 -163 1201
2316563002 49 -77 -48 -16524 -157 1208
2316569433 49 -81 -47 -16473 -124 1162
2316575865 45 -68 -43 -16458 -191 1209
2316582299 48 -72 -42 -16463 -160 1151
2316588732 47 -78 -50 -16474 -147 1167
2316595159 46 -82 -42 -16441 -121 1218
2316601590 42 -70 -42 -16389 -150 1249
2316608018 50 -76 -52 -16476 -159 1202
2316614418 47 -80 -42 -16496 -161 1193
2316620846 47 -75 -40 -16445 -165 1169
2316627277 48 -82 -42 -16515 -154 1196
2316633803 43 -75 -41 -16473 -146 1175
2316640247 47 -66 -43 -16471 -168 1214
2316646676 47 -74 -46 -16521 -160 1201
2316653108 47 -83 -39 -16479 -165 1204
2316659536 48 -80 -45 -16461 -114 1182
2316665947 48 -74 -45 -16481 -152 1160
2316672377 45 -79 -41 -16486 -213 1164
2316678812 46 -108 -33 -16474 -149 1142
2316685213 48 -100 -35 -16486 -113 1225
2316691637 44 -76 -43 -16463 -147 1162
2316698069 47 -63 -52 -16460 -213 1101
2316704503 47 -85 -44 -16473 -131 1154
2316710938 45 -98 -41 -16479 -183 1212
2316717366 45 -66 -40 -16454 -221 1126
2316723769 49 -98 -34 -16490 -107 1288
2316730199 43 -92 -45 -16487 -203 1168
2316736632 46 -99 -33 -16483 -124 1219
2316743068 42 -91 -40 -16474 -119 1227
2316749501 45 -66 -52 -16461 -201 1154
2316755929 43 -63 -48 -16488 -177 1132
2316762329 47 -90 -41 -16464 -119 1274
2316768763 48 -59 -58 -16222 -75 1205
2316775204 43 232 -157 -16818 -659 121
2316781631 46 -76 -41 -16417 -210 1492
2316788064 46 -88 -43 -16574 -214 1110
2316794492 47 -104 -28 -16404 -158 1134
2316800924 49 -143 -23 -16480 -225 888
2316807358 47 -238 12 -16509 -278 1085
2316813803 46 -327 45 -16413 -211 1072
2316820237 16 -525 107 -16982 535 4105
2316826670 -2143 -2179 700 -7749 -1656 6420
2316833101 -3855 14 94 -19544 -155 1776
2316839530 -4601 -861 251 -18373 -486 1796
2316845969 -4588 -1776 181 -18310 -399 884
2316852406 -3856 -2253 198 -15820 326 594
2316858838 -3073 -2121 215 -15606 -251 -289
2316865272 -2433 -2000 182 -14546 -929 349
2316871701 -2431 -1796 146 -17849 -1090 616
2316878130 -2700 -1823 238 -16823 -866 -75
2316884565 -2998 -1498 203 -17333 -525 -436
2316891000 -3150 -1064 229 -16444 -574 -832
2316897434 -2936 -626 163 -17745 -1094 -881
2316903866 -2276 -725 -187 -19106 -1252 330
2316910294 -2121 -470 -1190 -20442 -1147 2414
2316916715 -2262 833 -1539 -21362 -474 2754
2316923144 -2592 2228 -1609 -22186 -16 2922
2316929582 -2828 2845 -1928 -22044 -334 3059
2316936022 -3055 2830 -2291 -21594 -430 3262
2316942451 -3380 2881 -2600 -20946 -420 2944
2316948890 -3730 2961 -2925 -19809 -774 1594
2316955327 -3938 2890 -3169 -18703 -1170 121
2316961763 -4008 2848 -3241 -17850 -1989 -1150
2316968281 -3920 3093 -3392 -17482 -2342 -2197
2316974719 -3545 3555 -3645 -17586 -2529 -3170
2316981156 -3311 4301 -4015 -17167 -2751 -3330
2316987591 -3283 5398 -4412 -16768 -2838 -3726
2316994024 -3194 6304 -4570 -16456 -3088 -4121
2317000460 -2940 7064 -4602 -16337 -3333 -4104
2317006923 -2485 7586 -4578 -16289 -3354 -3805
2317013381 -2157 7708 -4467 -16384 -3399 -3630
2317019819 -1972 7713 -4289 -16654 -3658 -3433
2317026253 -1988 7455 -4273 -17775 -3745 -3358
2317032684 -2062 7412 -4485 -19911 -4351 -2527
2317039089 -2185 8199 -5286 -21022 -4917 -2704
