ustime gx gy gz ax ay az
2353281009 -3785 -3109 -1103 -2598 -12973 10165
2353287627 -3346 -3219 -1684 -2832 -13031 10955
2353294245 -2920 -3056 -1723 -3144 -13652 11785
2353300794 -2668 -2664 -1312 -3771 -14283 12350
2353307398 -2457 -2401 -909 -4167 -13867 13135
2353314017 -2613 -2058 -566 -4077 -13816 12543
2353320635 -2606 -1899 -367 -3554 -13630 11518
2353327183 -2386 -1877 -188 -2640 -13816 10658
2353333788 -1767 -2024 127 -1772 -12273 10667
2353340406 -1498 -1378 -266 -1680 -12761 8402
2353347024 -1336 -1065 -260 -906 -12059 9549
2353353573 -1588 -385 -928 -166 -11745 9985
2353360101 -1641 385 -2684 -1545 -8990 9091
2353366573 -1564 944 -6298 -822 -6271 11353
2353373035 -1968 1982 -7632 -3239 -6633 7660
2353379485 -802 343 -7478 2606 -11538 3852
2353385946 361 -1008 -3498 3630 -14670 7568
2353392406 -913 -552 -1146 1276 -15103 8769
2353398965 -1746 350 -1732 246 -14882 8226
2353405803 -2050 818 -2932 -1402 -15359 10305
2353412453 -2569 761 -3774 -1240 -16035 10747
2353419071 -2910 1072 -3537 -976 -16045 10972
2353425704 -3142 1477 -2947 -919 -15308 10624
2353432308 -3138 1315 -2304 -1151 -15171 8539
2353438948 -3094 1066 -1058 -1930 -15402 9854
2353445432 -3870 491 243 -1577 -14881 10128
2353451906 -4360 95 1165 -687 -14691 9026
2353458375 -4391 -95 1144 -145 -14673 8836
2353464892 -4523 -336 662 211 -14872 8155
2353471370 -4692 -750 108 2828 -16283 6111
2353477855 -4564 -1331 528 -511 -13377 8233
2353484333 -4620 -1217 -717 -1257 -13029 7674
2353490816 -4602 -1299 -1902 -193 -13468 6793
2353497274 -4115 -1458 -2240 424 -13952 6894
2353503855 -3708 -1548 -1973 564 -14713 6815
2353510332 -3520 -1505 -1743 1643 -16598 6519
2353516808 -3483 -1757 -1138 -318 -15958 7903
2353523290 -3629 -1444 -1154 346 -15825 6763
2353529765 -3476 -1371 -1173 710 -16134 6529
2353536241 -3153 -1180 -1267 1225 -16103 6371
2353542713 -3034 -1192 -1185 2554 -17162 5480
2353549186 -3101 -1495 -184 952 -16878 6383
2353555684 -3406 -1395 -30 1507 -16226 5515
2353562152 -3225 -1481 120 1757 -15830 5207
2353568627 -3118 -1506 -172 1392 -16142 4812
2353575099 -3040 -1609 -649 1155 -16398 4739
2353581571 -3004 -1647 -1324 1172 -16222 4681
2353588053 -2911 -1779 -1648 1425 -16329 4443
2353594533 -2703 -1888 -1370 1613 -16650 4983
2353601049 -2987 -1956 -1171 1590 -17207 4534
2353607528 -2623 -1801 -1126 1763 -17004 4235
2353614016 -2270 -1734 -858 1913 -16660 4480
2353620491 -2159 -1633 -702 1536 -16519 5145
2353626963 -2388 -1688 -227 1313 -16571 4101
2353633438 -2069 -1373 -272 1429 -15318 4139
2353639967 -1704 -1144 -241 1383 -14458 4845
2353646485 -1764 -990 39 1464 -15767 3677
2353652962 -1448 -897 8 1792 -15398 3335
2353659437 -887 -919 59 1642 -15738 4124
2353665944 -944 -989 256 1478 -16064 4154
2353672437 -1050 -1051 605 1693 -16253 5148
2353678922 -1824 -1318 664 1086 -16481 4303
2353685420 -1708 -1201 -101 494 -16413 5095
2353691928 -1862 -1173 -531 -29 -15952 6076
2353698447 -2505 -1028 -328 -156 -16098 5390
2353704931 -2486 -666 -426 -555 -14883 5791
2353711410 -2049 -379 -752 -961 -14486 6816
2353717878 -2144 -143 -909 -266 -15423 5007
2353724357 -1576 21 -1012 -225 -14762 5271
2353730836 -1295 88 -1041 -221 -14561 5676
2353737314 -1443 78 -1054 88 -14749 5334
2353743800 -1345 -330 -739 -174 -13964 5122
2353750269 -833 -684 -296 417 -14134 5080
2353756737 -143 -1074 540 607 -14330 4758
2353763218 581 -1216 894 409 -15752 5444
2353769734 888 -1212 904 328 -17470 5940
2353776229 753 -1159 894 365 -18514 6187
2353782701 375 -1126 1061 719 -18545 6180
2353789178 -49 -964 1387 897 -17809 5934
2353795646 -241 -769 1382 645 -17183 5390
2353802125 -273 -662 1083 452 -16715 5335
2353808588 -334 -626 901 579 -16478 5211
2353815076 -312 -580 763 282 -16019 5406
2353821649 -458 -497 556 939 -17550 4673
2353828123 -476 -570 435 847 -16773 4502
2353834596 -339 -530 151 883 -16423 4622
2353841080 -529 -441 -42 275 -15647 4311
2353847558 -566 -213 -242 142 -13605 4077
2353854035 -212 39 -204 425 -12801 4185
2353860504 303 18 152 665 -12696 2950
2353866979 1429 -7 602 852 -13344 3490
2353873461 1863 -116 1138 936 -14335 3821
2353879942 2034 -172 1605 1456 -15308 3530
2353886420 2159 -355 1929 1600 -15972 3730
2353892900 2082 -510 2094 1461 -16630 3978
2353899368 1752 -573 1758 1123 -16872 4181
2353905845 1402 -639 1184 980 -16980 4258
2353912320 1212 -735 788 977 -17087 4517
2353918796 1037 -837 748 635 -17022 4977
2353925270 935 -874 713 266 -16692 5255
2353931745 784 -870 726 -122 -16227 5535
2353938225 750 -821 657 -515 -16075 5713
2353944701 821 -731 418 -666 -16044 5833
2353951174 850 -598 249 -454 -16055 5938
2353957647 893 -504 108 -366 -16418 5930
2353964120 906 -355 -65 -414 -16747 6146
2353970607 817 -234 -127 -324 -17111 6300
2353977086 709 -199 208 -126 -16819 6671
2353983591 477 97 1278 -13045 -5176 79
2353990080 -900 -20 709 283 -16418 4549
2353996569 155 -113 573 397 -15339 5721
2354003045 253 -287 655 257 -15987 5644
2354009514 358 -354 434 -262 -15871 6078
2354015992 134 -447 249 724 -15166 7689
2354022469 -625 -330 572 -365 -16032 5690
2354028941 -709 -41 -77 -1057 -15708 6672
2354035446 -1113 67 -412 -441 -16304 4992
2354041937 -1028 -215 -453 256 -15919 5038
2354048422 -1068 -183 -398 -153 -15792 6090
2354054903 -1240 -71 -480 -63 -15999 5162
2354061382 -1270 9 -567 320 -15991 4866
2354067852 -1223 91 -514 611 -15992 4466
2354074324 -1045 50 -282 1016 -16018 4384
2354080756 -893 38 -129 605 -16172 4085
2354087225 -652 169 -116 703 -15963 4427
2354093702 -549 35 172 286 -15944 4609
2354100175 -468 -128 321 670 -16217 4091
2354106660 -294 -143 501 660 -16021 4418
2354113137 -209 -294 704 130 -15945 4778
2354119612 -405 -379 797 264 -16170 4405
2354126082 -372 -436 802 166 -16153 4523
2354132557 -237 -478 788 -110 -16059 4892
2354139040 -499 -467 708 -102 -15754 5001
2354145530 -1049 -324 538 -441 -16368 4460
2354152036 -587 -302 291 -300 -15976 4969
2354158626 -720 -156 123 -182 -15979 5030
2354165102 -1003 127 63 -89 -16567 5613
2354171580 -43 456 56 -119 -15312 5850
2354178045 -1443 631 205 -213 -16158 4727
2354184518 -1524 511 86 79 -15767 5767
2354191002 -1364 453 109 -154 -15965 4866
2354197477 -1831 383 111 123 -16684 3833
2354203961 -490 435 72 -721 -16261 4550
2354210442 -300 7 43 -810 -16044 4807
2354216953 -460 116 -206 156 -16354 3697
2354223430 -376 128 -138 197 -16186 4103
2354229913 -265 54 -42 146 -16235 3957
2354236362 -157 -13 15 -334 -16246 4226
2354242805 -140 4 -86 -249 -16104 4643
2354249255 -213 74 -148 457 -15727 5425
2354255708 -350 115 -82 188 -16014 4723
2354262162 -557 71 66 348 -15355 6156
2354268612 -2526 175 464 1050 -16122 1876
2354275055 -2979 201 134 1424 -14418 5218
2354281493 -5606 653 300 973 -14778 4392
2354287931 -6316 412 -54 2115 -14610 3730
2354294372 -7701 487 -199 3796 -16335 1719
2354300818 -7027 18 49 2731 -17406 3655
2354307256 -7884 250 134 35 -12649 3085
2354313694 -8948 109 361 -3676 -17053 4368
2354320130 -9809 149 1116 -782 -11312 1392
2354326572 -8610 -1413 -1202 6221 -24278 6639
2354333020 -546 -542 -399 873 -16397 2913
2354339475 -346 -89 -298 -261 -16506 2480
2354345920 -472 -129 -401 1021 -16840 1460
2354352348 -203 -128 -133 72 -16632 2016
2354358808 -163 -136 -106 -110 -16568 2062
2354365257 -103 -124 -98 -23 -16531 1863
2354371696 -58 -112 -69 -93 -16551 1973
2354378134 -18 -95 -68 -150 -16600 1950
2354384571 2 -87 -88 -78 -16531 2072
2354391010 8 -65 -76 -119 -16551 2028
2354397462 15 -69 -80 -88 -16560 2095
2354403917 24 -73 -70 -14 -16511 2034
2354410368 37 -65 -50 -56 -16574 2088
2354416826 29 -54 -34 -271 -16595 2293
2354423278 47 -62 -40 -63 -16569 2075
2354429723 49 -62 -33 -69 -16522 2084
2354436275 46 -57 -31 69 -16467 2059
2354442727 43 -64 -39 8 -16547 2051
2354449181 47 -66 -35 -109 -16555 2077
2354455657 42 -60 -34 -29 -16513 2098
2354462102 46 -70 -30 -182 -16533 2351
2354468775 40 -72 -46 -161 -16584 2065
2354475262 22 -65 -53 -81 -16560 2114
2354481714 37 -79 -61 -96 -16577 2096
2354488151 34 -73 -64 -94 -16542 2112
2354494610 28 -76 -55 -44 -16554 2087
2354501144 29 -75 -60 -99 -16555 2056
2354507591 35 -81 -62 -98 -16541 2047
2354514040 39 -63 -47 -88 -16530 2089
2354520474 42 -81 -57 -110 -16548 2180
2354526916 38 -81 -56 -49 -16569 2090
2354533359 35 -71 -46 -68 -16539 2120
2354539791 36 -78 -43 -69 -16548 2094
2354546216 34 -82 -60 -131 -16495 2102
2354552648 31 -80 -54 901 -17046 1104
2354559079 27 -55 -56 284 -16557 1911
2354565526 82 -87 -60 66 -16498 2140
2354571973 44 -73 -42 -248 -16586 2195
2354578406 11 -77 -65 -61 -16554 2089
2354584863 23 -88 -55 -86 -16516 2021
2354591304 37 -78 -56 -101 -16528 2052
2354597738 50 -76 -55 21 -16579 1988
2354604186 96 -90 25 -721 -16437 2919
2354610621 0 -58 -73 -104 -16516 1944
2354617059 85 -73 -13 262 -16565 1865
2354623489 124 -73 29 -49 -16537 2109
2354629943 109 -67 23 -126 -16460 2152
2354636403 104 -65 17 -147 -16512 2070
2354642844 101 -71 3 -119 -16598 2112
2354649288 79 -67 5 -151 -16558 2125
2354655723 68 -65 -12 -91 -16507 2123
2354662161 60 -74 -40 -109 -16588 2128
2354668563 50 -75 -48 -91 -16575 2117
2354674996 46 -74 -39 -121 -16486 2112
2354681483 42 -86 -51 -124 -16511 2166
2354687952 32 -82 -55 -90 -16554 2103
2354694415 24 -70 -49 -124 -16563 2134
2354700866 26 -87 -60 -68 -16499 2047
2354707322 34 -92 -55 -28 -16565 2120
2354713770 26 -73 -45 -120 -16564 2069
2354720186 40 -88 -54 -95 -16536 2060
2354726669 40 -90 -43 -73 -16554 2038
2354733134 53 -81 -34 -103 -16571 2063
2354739598 59 -87 -38 -14 -16496 2026
2354746067 67 -74 -27 -78 -16532 2064
2354752535 71 -73 -25 -104 -16595 2098
2354758995 78 -75 -20 -76 -16522 2071
2354765467 82 -78 -30 -105 -16493 2074
2354771911 79 -62 -21 -102 -16568 2114
2354778365 70 -72 -34 -114 -16500 2133
2354784851 67 -77 -29 -132 -16529 2100
2354791298 61 -72 -17 -111 -16554 2134
2354797745 53 -71 -30 -130 -16566 2131
2354804194 48 -78 -45 -142 -16564 2092
2354810657 42 -75 -42 -122 -16568 2138
2354817113 39 -75 -51 -80 -16587 2137
2354823561 35 -80 -56 -105 -16507 2096
2354830046 22 -79 -61 -160 -16531 2102
2354836534 15 -72 -66 -137 -16549 2129
2354843002 19 -85 -73 -86 -16548 2098
2354849460 21 -77 -67 -51 -16520 2074
2354856035 31 -72 -55 -60 -16564 2073
2354862486 41 -77 -64 -93 -16550 2092
2354868963 39 -74 -48 -62 -16544 2099
2354875419 40 -65 -44 -16 -16548 2047
2354881866 58 -76 -45 -74 -16524 2030
2354888325 59 -76 -29 -82 -16526 2091
2354894793 63 -70 -21 -148 -16520 2143
2354901271 65 -75 -33 -56 -16567 2130
2354907720 62 -80 -35 -133 -16542 2081
2354914198 55 -68 -38 -101 -16545 2135
2354920650 53 -77 -42 -128 -16556 2124
2354927126 46 -79 -42 -64 -16575 2120
2354933582 41 -74 -37 -107 -16562 2103
2354940062 45 -75 -47 -73 -16504 2107
2354946506 47 -85 -52 -106 -16580 2123
2354952966 44 -75 -50 -107 -16521 2115
2354959415 39 -74 -50 -104 -16568 2108
2354965865 42 -88 -56 -71 -16518 2068
2354972342 38 -76 -59 -94 -16525 2103
2354978787 35 -87 -60 -159 -16512 2113
2354985252 30 -87 -66 -121 -16569 2072
2354991666 32 -76 -52 -43 -16583 2060
2354998118 41 -82 -39 -99 -16522 2086
2355004577 50 -86 -48 -131 -16535 2133
2355010984 47 -74 -46 -142 -16518 2093
2355017449 47 -75 -46 -126 -16553 2084
2355023903 46 -79 -50 -92 -16501 2093
2355030367 42 -72 -54 -69 -16520 2085
2355036812 38 -68 -45 -87 -16528 2086
2355043261 42 -79 -39 -52 -16538 2166
2355049705 44 -66 -42 -96 -16572 2084
2355056113 39 -74 -30 -36 -16555 2112
2355062571 43 -78 -45 -112 -16553 2080
2355069033 49 -69 -42 -107 -16565 2114
2355075513 46 -69 -37 -97 -16532 2057
2355081965 49 -74 -46 -98 -16515 2075
2355088428 48 -79 -39 -71 -16581 2070
2355094876 40 -76 -33 -59 -16561 2138
2355101335 47 -83 -51 -133 -16544 2128
2355107803 40 -78 -44 -110 -16529 2069
2355114253 40 -73 -47 -78 -16556 2109
2355120732 43 -81 -54 -146 -16540 2087
2355127184 42 -85 -52 -84 -16536 2104
2355133659 35 -78 -47 -66 -16532 2105
2355140112 43 -84 -55 -96 -16563 2054
2355146569 44 -78 -56 -53 -16521 2072
2355153014 49 -77 -43 -110 -16516 2094
2355159485 48 -81 -52 -125 -16542 2045
2355165970 49 -81 -48 -134 -16543 2053
2355172414 47 -74 -43 -45 -16501 2097
2355178896 48 -76 -49 -127 -16550 2125
2355185377 51 -88 -48 -42 -16556 2101
2355191841 50 -70 -41 -62 -16562 2094
2355198297 53 -78 -40 -86 -16563 2045
2355204756 51 -84 -46 -88 -16548 2078
2355211291 55 -78 -39 -137 -16545 2168
2355217756 45 -81 -42 -104 -16544 2107
2355224217 51 -79 -46 -111 -16562 2080
2355230701 45 -75 -46 -85 -16524 2084
2355237170 40 -74 -50 -155 -16533 2115
2355243635 38 -79 -55 -45 -16534 2077
2355250103 42 -71 -42 -78 -16576 2075
2355256567 44 -67 -40 -75 -16507 2113
2355263030 55 -79 -46 -91 -16498 2096
2355269473 50 -72 -35 -101 -16534 2115
2355275927 44 -72 -33 -71 -16523 2048
2355282398 51 -81 -40 -95 -16559 2089
2355288869 52 -77 -40 -88 -16532 2115
2355295339 52 -76 -33 -171 -16517 2074
2355301800 48 -80 -46 -49 -16532 2098
2355308269 55 -76 -46 -105 -16559 2059
2355314733 49 -67 -35 -100 -16561 2115
2355321196 55 -84 -42 -62 -16518 2081
2355327646 50 -78 -38 -71 -16529 2128
2355334124 42 -74 -31 -52 -16551 2080
2355340576 42 -77 -46 -133 -16526 2079
2355347038 44 -81 -42 -103 -16539 2111
2355353504 44 -77 -34 -95 -16528 2125
2355359969 48 -83 -39 -96 -16578 2073
2355366432 50 -81 -45 -97 -16513 2088
2355372882 43 -79 -39 -117 -16521 2123
2355379342 43 -80 -55 -108 -16569 2075
2355385812 46 -89 -62 -125 -16537 2079
2355392262 45 -78 -48 -64 -16548 2089
2355398725 42 -76 -46 -78 -16516 2050
2355405203 55 -83 -49 -128 -16541 2137
2355411669 46 -74 -45 -31 -16557 2104
2355418129 50 -77 -42 -69 -16553 1812
2355424598 54 -78 -45 -82 -16590 2014
2355431046 56 -73 -38 -88 -16537 2076
2355437523 51 -71 -36 -162 -16557 2101
2355443973 53 -84 -48 -73 -16516 2121
2355450423 53 -77 -39 -79 -16544 2069
2355456899 50 -68 -34 -52 -16537 2105
2355463346 52 -83 -44 -95 -16548 2059
2355469825 54 -73 -30 -86 -16521 2107
2355476309 45 -72 -32 -57 -16569 2092
2355482778 54 -72 -36 -96 -16544 2112
2355489226 48 -73 -39 -98 -16542 2025
2355495755 47 -68 -41 -137 -16541 2148
2355502217 49 -76 -42 -111 -16573 2109
2355508679 44 -78 -44 -108 -16561 2154
2355515129 34 -69 -50 -75 -16518 2080
2355521579 45 -81 -52 -161 -16552 2104
2355528056 34 -81 -52 -80 -16538 2107
2355534521 36 -71 -49 -70 -16535 2110
2355540998 37 -76 -54 -106 -16533 2044
2355547450 45 -79 -44 -80 -16502 2113
2355553966 50 -68 -42 -65 -16580 2122
2355560435 59 -78 -28 -97 -16531 2068
2355566998 63 -77 -35 -69 -16562 2096
2355573468 61 -70 -27 -92 -16538 2073
2355579947 61 -78 -29 -89 -16554 2101
2355586616 67 -79 -32 -141 -16527 2138
2355593233 57 -77 -36 -101 -16547 2111
2355599852 55 -76 -46 -106 -16547 2083
2355606470 47 -78 -45 -149 -16540 2110
2355613004 43 -76 -46 -130 -16547 2100
2355619554 34 -78 -57 -133 -16548 2123
2355626157 34 -83 -57 -116 -16523 2089
2355632775 30 -74 -59 -100 -16539 2089
2355639394 32 -82 -61 -97 -16586 2032
2355645942 36 -80 -63 -100 -16556 2048
2355652547 37 -77 -54 -84 -16543 2069
2355659165 47 -79 -57 -68 -16563 2067
2355665798 49 -82 -49 -82 -16547 2066
2355672401 54 -73 -43 -68 -16551 2136
2355678950 52 -78 -42 -116 -16533 2037
2355685570 51 -86 -51 -12 -16539 2121
2355692172 48 -72 -44 -94 -16518 2110
2355698791 50 -81 -47 -99 -16554 2139
2355705409 55 -75 -44 -108 -16545 2108
2355711958 49 -76 -39 -154 -16529 2094
2355718562 50 -74 -40 -112 -16528 2102
2355725180 50 -82 -51 -54 -16559 2106
2355731798 46 -77 -38 -90 -16558 2097
2355738417 47 -75 -52 -96 -16537 2076
2355745035 47 -87 -53 -127 -16540 2065
2355751653 46 -78 -46 -88 -16544 2090
2355758201 48 -82 -51 -76 -16569 2088
2355764806 45 -83 -57 -80 -16533 2091
2355771424 43 -73 -46 -97 -16563 2063
2355778042 46 -73 -50 -93 -16522 2088
2355784592 49 -81 -55 -101 -16542 2060
2355791195 45 -67 -39 -48 -16528 2081
2355797814 44 -79 -42 -75 -16548 2089
2355804432 49 -85 -51 -86 -16537 2126
2355810981 40 -74 -49 -169 -16555 2111
2355817585 39 -75 -48 -50 -16571 2085
2355824203 42 -82 -55 -92 -16550 2090
2355830821 46 -75 -43 -93 -16535 2068
2355837370 42 -76 -46 -75 -16553 2093
2355843974 48 -76 -45 -130 -16547 2112
2355850594 49 -74 -41 -105 -16545 2045
2355857211 50 -72 -41 -116 -16529 2063
2355863830 46 -86 -52 -115 -16521 2063
2355870447 46 -72 -49 -139 -16529 2097
2355877066 43 -76 -50 -115 -16566 2117
2355883693 48 -80 -45 -106 -16528 2108
2355890302 54 -72 -49 -82 -16534 2105
2355896920 45 -75 -43 -138 -16524 2099
2355903501 49 -79 -56 -100 -16522 2108
2355910087 46 -73 -42 -102 -16531 2130
2355916692 47 -74 -41 -141 -16580 2084
2355923309 49 -86 -49 -98 -16542 2065
2355929934 45 -78 -46 -118 -16536 2053
2355936418 44 -79 -52 -78 -16560 2077
2355942871 41 -79 -49 -115 -16512 2110
2355949330 40 -80 -57 -58 -16547 2063
2355955784 35 -74 -43 -57 -16538 2131
2355962256 40 -75 -44 -114 -16515 2051
2355968743 48 -79 -45 -74 -16565 2065
2355975205 48 -72 -34 -24 -16541 2091
2355981668 52 -82 -38 -100 -16576 2095
2355988120 44 -78 -41 -96 -16537 2080
2355994580 49 -70 -41 -117 -16536 2084
2356001137 47 -80 -52 -49 -16578 2086
2356007756 46 -80 -47 -119 -16522 2080
2356014373 44 -76 -45 -130 -16565 2071
2356020923 42 -77 -49 -74 -16531 2057
2356027527 41 -76 -50 -116 -16534 2097
2356034145 39 -74 -39 -107 -16537 2059
2356040763 39 -76 -44 -136 -16534 2093
2356047313 44 -77 -43 -102 -16519 2062
2356053916 44 -72 -37 -90 -16545 2072
2356060535 44 -80 -48 -104 -16559 2119
2356067153 46 -81 -49 -74 -16577 2072
2356073701 47 -78 -37 -127 -16544 2102
2356080306 48 -81 -50 -70 -16559 2078
2356086923 54 -82 -45 -110 -16564 2080
2356093542 53 -73 -41 -120 -16546 2120
2356100160 56 -80 -47 -75 -16541 2070
2356106779 56 -78 -45 -79 -16515 2063
2356113398 53 -76 -35 -142 -16563 2069
2356120015 59 -80 -43 -76 -16550 2114
2356126633 55 -83 -45 -127 -16543 2119
2356133251 46 -77 -34 -113 -16529 2090
2356139801 47 -78 -43 -97 -16553 2140
2356146405 47 -89 -50 -117 -16543 2129
2356153022 37 -76 -48 -129 -16548 2100
2356159557 40 -80 -52 -84 -16582 2102
2356166106 44 -84 -51 -89 -16524 2077
2356172711 43 -80 -44 -94 -16571 2052
2356179328 46 -84 -45 -135 -16502 2126
2356185961 52 -87 -51 -149 -16531 2070
2356192564 47 -72 -38 -119 -16520 2035
2356199183 42 -77 -48 -142 -16565 2082
2356205815 51 -83 -57 -144 -16527 2128
2356212419 42 -76 -44 -121 -16502 2128
2356218969 49 -81 -53 -72 -16541 2071
2356225572 52 -87 -53 -47 -16532 2084
2356232191 53 -78 -34 -41 -16578 2101
2356238809 54 -75 -39 -146 -16522 2065
2356245427 58 -83 -42 -112 -16563 2073
2356251976 53 -74 -38 -113 -16588 2071
2356258581 56 -75 -42 -122 -16580 2060
2356265198 63 -84 -47 -115 -16515 2065
2356271817 51 -72 -42 -103 -16517 2126
2356278435 50 -75 -40 -144 -16590 2088
2356285053 54 -82 -49 -107 -16533 2121
2356298710 45 -75 -53 -86 -16519 2099
2356305271 49 -77 -53 -118 -16515 2079
2356311737 40 -74 -52 -150 -16529 2113
2356318196 37 -71 -54 -127 -16554 2101
2356324659 39 -80 -66 -65 -16536 2043
2356331228 29 -75 -59 -84 -16547 2057
2356337832 40 -77 -50 -81 -16528 2068
2356344450 40 -83 -56 -113 -16537 2094
2356351069 42 -78 -45 -103 -16527 2058
2356357603 47 -78 -44 -37 -16569 2105
2356364221 55 -79 -60 -84 -16521 2049
2356370841 49 -75 -39 -158 -16535 2117
2356377458 46 -75 -41 -101 -16533 2094
2356384007 48 -77 -43 -58 -16531 2094
2356390611 49 -75 -36 -60 -16528 2095
2356397229 48 -69 -38 -82 -16536 2067
2356403848 47 -78 -45 -131 -16542 2072
2356410381 44 -71 -41 -106 -16556 2094
2356417000 44 -69 -48 -118 -16538 2056
2356423632 43 -82 -53 -73 -16528 2064
2356430237 37 -72 -46 -95 -16546 2095
2356436855 37 -70 -47 -44 -16531 2098
2356443473 44 -75 -54 -63 -16524 2070
2356450022 47 -75 -48 -67 -16534 2078
2356456640 47 -71 -44 -22 -16526 2110
2356463244 53 -75 -42 -100 -16512 2062
2356469863 46 -79 -49 -118 -16587 2090
2356476481 45 -66 -42 -109 -16540 2089
2356483030 44 -78 -44 -66 -16578 2113
2356489634 41 -78 -47 -71 -16510 2075
2356496252 39 -75 -35 -105 -16508 2114
2356502870 42 -81 -57 -135 -16573 2095
2356509420 44 -76 -48 -98 -16563 2103
2356516038 45 -71 -43 -97 -16542 2088
2356522642 49 -70 -48 -62 -16538 2066
2356529260 48 -77 -43 -142 -16541 2115
2356535878 49 -68 -32 -139 -16536 2071
2356542427 52 -76 -51 -124 -16537 2078
2356549031 49 -77 -47 -111 -16532 2070
2356555649 46 -68 -49 -123 -16534 2078
2356562267 45 -82 -48 -112 -16540 2093
2356568886 45 -81 -54 -95 -16560 2083
2356575435 38 -73 -49 -62 -16507 2080
2356582039 41 -72 -54 -84 -16553 2110
2356588757 46 -74 -57 -116 -16546 2065
2356595359 48 -66 -57 -77 -16597 2062
2356601977 54 -78 -60 -95 -16567 2079
2356608595 62 -73 -60 -56 -16557 2075
2356615318 53 -70 -47 -75 -16525 2140
2356621871 54 -81 -61 -113 -16534 2106
2356628341 51 -74 -61 -125 -16543 2101
2356634865 49 -73 -49 -64 -16548 2122
2356641519 35 -78 -76 -37 -16558 2134
2356648019 34 -85 -76 -62 -16566 2174
2356654538 16 -79 -74 -110 -16558 2158
2356661119 3 -89 -93 -63 -16537 2128
2356667599 2 -90 -99 -103 -16510 2065
2356674072 -9 -90 -93 -44 -16587 2099
2356680543 0 -99 -98 -30 -16548 2073
2356687019 3 -106 -95 -110 -16518 2078
2356693501 9 -91 -80 18 -16506 2013
2356699982 32 -99 -71 -96 -16558 2048
2356706461 33 -100 -82 -90 -16526 2015
2356712934 36 -84 -76 -96 -16540 2076
2356719409 44 -92 -93 -55 -16564 2017
2356725885 52 -90 -86 -25 -16555 2040
2356732360 79 -82 -70 35 -16514 1992
2356738838 103 -81 -46 -37 -16537 2112
2356745314 95 -82 -50 -68 -16541 2105
2356751787 87 -76 -46 -86 -16541 1819
2356758264 147 -89 -88 573 -16490 1765
2356764741 86 -88 -54 -102 -16549 2062
2356771217 76 -88 -53 -27 -16506 2108
2356777687 67 -87 -51 -103 -16530 2056
2356784161 71 -90 -49 -11 -16525 2097
2356790645 81 -84 -44 -94 -16578 2012
2356797124 104 -94 -62 -171 -16539 2069
2356803617 98 -98 -99 -214 -16530 2147
2356810120 101 -113 -121 -59 -16528 2057
2356816594 117 -119 -142 -322 -16658 1881
2356823067 172 -191 -356 -5079 -20994 -24
2356829553 532 -1193 -1591 1011 -16386 1515
2356836029 457 -726 -1232 4169 -17567 -6346
2356842502 -752 -1831 -1497 -459 -21224 4427
2356848982 -1757 -1087 -2059 252 -20178 1695
2356855471 -1619 -815 -1575 794 -20416 2284
2356861971 -1516 -553 -617 327 -19877 2517
2356868467 -1401 -281 -247 396 -19251 2137
2356874942 -1334 70 -298 516 -18455 2332
2356881417 -1636 166 -408 893 -18184 2833
2356887885 -2522 443 -456 995 -18302 939
2356894316 -2628 425 -820 -10 -16824 1393
2356900792 -2572 327 -1220 -149 -17116 1389
2356907265 -2859 581 -1548 -157 -17304 1612
2356913747 -3374 650 -1626 883 -17684 88
2356920221 -3405 -257 -818 83 -16084 1080
2356926698 -3069 -141 -457 -368 -16145 1552
2356933179 -3150 412 -558 -456 -16953 1014
2356939651 -3371 729 -959 -298 -16757 1056
2356946122 -3438 740 -1147 -39 -16891 397
2356952552 -3344 915 -1222 623 -17190 207
2356959028 -3329 1050 -1167 817 -17314 92
2356965502 -3365 1261 -1179 1349 -17276 -435
2356971976 -3409 1346 -1264 1327 -17094 -474
2356978462 -3602 1277 -1423 1272 -16689 -619
2356984929 -3824 1220 -1645 1125 -15983 -793
2356991386 -3944 1234 -2018 1085 -15342 -1027
2356997828 -4019 1030 -2262 376 -13286 992
2357004357 -3967 -48 -1797 -194 -13527 -529
2357010806 -3359 244 -1847 -101 -13735 -491
2357017241 -3080 441 -2096 -460 -14776 -278
2357023694 -3105 727 -2624 -212 -15699 -570
2357030146 -3204 943 -3006 348 -15843 -922
2357036592 -3218 1107 -3246 898 -15421 -806
2357043043 -3048 1448 -3005 1653 -14695 -1688
2357049484 -2747 1513 -3028 832 -14634 -1248
2357055918 -2326 1434 -3217 1328 -14658 -1463
2357062376 -2408 1517 -3435 1255 -14719 -1626
2357068819 -2293 1556 -4041 1268 -15061 -1510
2357075263 -2495 -148 -2503 6569 -17028 -1639
2357081715 -3353 -559 -1390 3237 -16525 -1533
2357088173 -3441 -1411 -1842 1607 -17551 -2444
2357094609 -3549 -2083 -1885 1724 -16850 -2584
2357101044 -3419 -2513 -1911 2230 -15852 -1488
2357107489 -3311 -2316 -1912 2544 -15654 -2164
2357113938 -2928 -1761 -2023 2162 -15697 -2466
2357120378 -2811 -1162 -2216 2108 -15519 -1946
2357126835 -3176 -704 -2207 2331 -15202 -2078
2357133323 -4358 3164 -1199 -2414 -15605 -1274
2357139813 -5072 3499 38 1874 -17443 -2343
2357146304 -4057 2087 235 3226 -17620 -2183
2357152820 -3363 1179 554 2331 -17790 -4042
